codice_cliente,next_best_action,nba_expected_value,priority_score,nba_reason,churn_score_model,cross_sell_score,clv_stimato,potenziale_crescita,engagement_score,satisfaction_score,reclami_totali,mesi_da_ultima_visita,multi_polizza_flag,valore_atteso_euro
11357,Retention (anti-churn),31348.881701075483,31348.881701075483,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.82,0.42,38216,81.4,94.3,85.9,0,3.4,0,31349
17710,Retention (anti-churn),30005.39078675451,30005.39078675451,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.77,0.51,38871,90.1,84.7,83.6,0,2.6,0,30005
17230,Retention (anti-churn),29781.928916682427,29781.928916682427,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.7,0.51,42792,95.2,78.6,78.6,0,2.6,0,29782
11657,Retention (anti-churn),28517.639978084248,28517.639978084248,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.87,0.61,32845,78.2,88.7,72.6,0,3.4,0,28518
17486,Retention (anti-churn),24170.44507706341,24170.44507706341,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.72,0.75,33497,85.2,89.8,78.8,0,1.2,0,24170
17570,Retention (anti-churn),23558.90721044562,23558.90721044562,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.59,0.8,39595,82.2,100.0,73.5,0,2.2,1,23559
13180,Retention (anti-churn),22470.203121541585,22470.203121541585,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.54,0.86,41411,83.1,83.4,84.8,0,3.0,0,22470
12307,Retention (anti-churn),22049.083735677792,22049.083735677792,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.72,0.77,30549,82.4,84.3,63.4,1,2.0,0,22049
16164,Retention (anti-churn),21891.248653948453,21891.248653948453,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.71,0.52,30986,84.3,100.0,94.8,0,2.7,0,21891
12244,Retention (anti-churn),21214.52521208434,21214.52521208434,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.76,0.84,28043,80.4,100.0,55.9,0,2.1,1,21215
17725,Retention (anti-churn),21130.773857609638,21130.773857609638,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.83,0.66,25329,92.0,98.6,76.1,0,3.7,0,21131
15451,Retention (anti-churn),20763.92392430338,20763.92392430338,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.55,0.67,37910,73.8,100.0,79.2,0,3.4,1,20764
10510,Retention (anti-churn),20489.157282730597,20489.157282730597,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.58,0.88,35561,83.4,100.0,70.6,0,3.0,1,20489
11904,Retention (anti-churn),19875.37433520403,19875.37433520403,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.66,0.96,30017,80.7,100.0,80.7,0,2.3,0,19875
17890,Retention (anti-churn),19796.086938673478,19796.086938673478,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.54,0.66,36572,76.2,74.3,81.3,0,2.1,0,19796
9951,Retention (anti-churn),19765.980569375206,19765.980569375206,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.74,0.84,26544,79.6,99.4,81.7,0,2.6,0,19766
9674,Retention (anti-churn),19261.245595445103,19261.245595445103,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.53,0.87,36465,83.9,100.0,73.2,0,1.4,1,19261
11563,Retention (anti-churn),19149.395045480847,19149.395045480847,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.69,0.74,27614,77.9,91.8,81.0,0,2.2,0,19149
12107,Retention (anti-churn),18657.065887470617,18657.065887470617,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.73,0.91,25683,92.9,100.0,83.3,0,1.8,0,18657
12838,Retention (anti-churn),18574.039724014852,18574.039724014852,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.69,0.48,26977,83.7,85.1,83.2,0,1.8,0,18574
18052,Retention (anti-churn),18541.559030464992,18541.559030464992,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.57,0.95,32546,84.3,91.9,61.1,0,2.0,1,18542
13642,Retention (anti-churn),18376.60953476801,18376.60953476801,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.8,0.74,22925,76.0,91.4,75.3,0,2.9,0,18377
10840,Retention (anti-churn),18140.750769778784,18140.750769778784,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.76,0.33,23925,85.0,69.6,79.9,0,20.1,0,18141
19451,Retention (anti-churn),18076.04952108792,18076.04952108792,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.7,0.15,25665,80.1,56.8,86.8,0,23.3,0,18076
12377,Retention (anti-churn),17697.344965186083,17697.344965186083,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.38,0.57,46659,76.6,100.0,97.1,0,3.5,1,17697
11927,Retention (anti-churn),17440.625538927292,17440.625538927292,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.52,0.65,33768,83.5,86.8,78.8,0,2.9,1,17441
11683,Retention (anti-churn),17381.81795420923,17381.81795420923,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.4,0.75,43676,74.2,100.0,85.1,0,1.8,1,17382
14133,Retention (anti-churn),17355.22947627511,17355.22947627511,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.71,0.18,24363,93.3,61.2,86.6,0,21.7,0,17355
15560,Retention (anti-churn),17315.217954302323,17315.217954302323,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.65,0.18,26784,92.7,61.1,89.3,0,16.4,0,17315
13817,Retention (anti-churn),17288.97291537778,17288.97291537778,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.69,0.76,24904,88.4,94.5,82.8,0,3.0,0,17289
14098,Retention (anti-churn),17131.546965833782,17131.546965833782,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.37,0.93,46140,84.2,99.7,84.1,0,1.2,1,17132
18566,Retention (anti-churn),16937.074167956664,16937.074167956664,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.66,0.45,25689,73.3,80.0,79.4,0,2.5,0,16937
18470,Retention (anti-churn),16864.729330791986,16864.729330791986,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.6,0.46,28055,79.4,67.3,84.9,0,9.4,0,16865
12875,Retention (anti-churn),16737.891708085575,16737.891708085575,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.4,0.64,41718,75.0,100.0,93.6,0,3.3,1,16738
12613,Retention (anti-churn),16347.62048518274,16347.62048518274,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.65,0.56,25240,88.7,74.6,83.1,0,2.6,0,16348
15930,Retention (anti-churn),16343.168248315253,16343.168248315253,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.44,0.87,37346,72.7,100.0,68.0,0,0.8,1,16343
14029,Retention (anti-churn),16242.065870001506,16242.065870001506,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.59,0.83,27699,79.1,84.6,84.5,0,3.6,0,16242
16803,Retention (anti-churn),15993.46039266667,15993.46039266667,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.54,0.86,29699,73.7,100.0,73.2,0,1.7,1,15993
