luogo_di_residenza,n_clienti,lat,lon,n_polizze_casa,penetrazione_casa,n_polizze_salute,penetrazione_salute,NDVI_mean,protection_gap_casa,protection_gap_salute,valore_immobiliare_medio,pg_casa_norm,pg_salute_norm,aff_norm,ndvi_norm,potential_score_casa,potential_score_salute
abbadia di naro,1,40.070261822815866,12.476831700119291,1.0,1.0,0.0,0.0,0.0,0.0,1.0,190664.5149429224,0.0,1.0,0.13455477217444684,0.0,0.0,0.0
abbiate guazzone,2,41.266444019926396,13.032560696119244,0.0,0.0,2.0,1.0,0.1243178883342335,1.0,0.0,311837.1172585192,1.0,0.0,0.31449279656084633,0.13696776556471532,0.47490515622306656,0.0
acaia,1,40.27118558331245,12.894322801759923,1.0,1.0,1.0,1.0,0.0,0.0,0.0,581252.3366486669,0.0,0.0,0.7145670822515124,0.0,0.0,0.0
acate,1,41.14292571426313,13.477836466151553,1.0,1.0,0.0,0.0,0.0,0.0,1.0,296226.99012212385,0.0,1.0,0.2913121816060913,0.0,0.0,0.0
accadia,2,42.47625159755874,12.349320889129427,2.0,1.0,1.0,0.5,0.5964360614870254,0.0,0.5,317946.43921517226,0.0,0.5,0.3235649737874891,0.6571259835468208,0.0,0.46345031426387695
accaria rosaria,1,42.56284089890889,11.655704232210356,0.0,0.0,0.0,0.0,0.6784250515311545,1.0,1.0,263182.5181877051,1.0,1.0,0.2422420379998266,0.7474577042486732,0.6165838965851894,0.6165838965851894
acceglio,1,42.01555518716509,12.835062529382618,1.0,1.0,1.0,1.0,0.7385175124320394,0.0,0.0,277429.0053504857,0.0,0.0,0.263397684619021,0.8136648302477136,0.0,0.0
accettura,1,42.82498465022105,12.490758163799187,0.0,0.0,1.0,1.0,0.6601224093935768,1.0,0.0,385607.69371155545,1.0,0.0,0.42404009959088607,0.727292689936535,0.7253772369078275,0.0
acciaroli,1,41.08986873613238,13.327141200740638,0.0,0.0,1.0,1.0,0.0,1.0,0.0,485450.74375800247,1.0,0.0,0.5723043179929831,0.0,0.0,0.0
accorneri,2,42.11917466852231,11.903755461533045,2.0,1.0,1.0,0.5,0.7024729816031552,0.0,0.5,248586.17970368336,0.0,0.5,0.22056687166767647,0.7739526141329448,0.0,0.42686442445337053
acerenza,1,40.37895565911737,13.903483451134148,0.0,0.0,1.0,1.0,0.0,1.0,0.0,238917.72262771727,1.0,0.0,0.20620947542571996,0.0,0.0,0.0
acerra,1,40.67664757536968,13.909826252735373,0.0,0.0,1.0,1.0,0.0,1.0,0.0,371427.0570719158,1.0,0.0,0.4029822392105969,0.0,0.0,0.0
aci bonaccorsi,2,42.866348753776705,12.043295098754076,1.0,0.5,1.0,0.5,0.507029037146923,0.5,0.5,245921.4504116549,0.5,0.5,0.21660982102116697,0.5586214118094823,0.3977516233694212,0.3977516233694212
aci sant'antonio,2,41.98351305000763,13.370284309357462,0.0,0.0,0.0,0.0,0.8563274353912217,1.0,1.0,254889.26149997447,1.0,1.0,0.22992677699525657,0.9434624171057509,0.635948264433133,0.635948264433133
acqua dei corsari,1,42.760933333658095,10.39324584094895,0.0,0.0,1.0,1.0,0.267516703353707,1.0,0.0,486051.1819396213,1.0,0.0,0.5731959523897194,0.2947376729170691,0.6627932312325362,0.0
acquaficara,1,40.335233733948655,10.642862339566022,1.0,1.0,0.0,0.0,0.0,0.0,1.0,156864.3360348903,0.0,1.0,0.08436242423115846,0.0,0.0,0.0
acquafondata,1,42.707285195429584,13.313877197796469,1.0,1.0,1.0,1.0,0.9009758126737004,0.0,0.0,345368.69568325224,0.0,0.0,0.3642862800794177,0.9926539578760545,0.0,0.0
acquaformosa,1,41.40993891039225,11.829043218367282,0.0,0.0,0.0,0.0,0.0,1.0,1.0,101415.43363015947,1.0,1.0,0.002022309696725496,0.0,0.0,0.0
acquamela,2,41.6250791821683,12.568655060072725,1.0,0.5,1.0,0.5,0.4550027216525252,0.5,0.5,396037.3715204629,0.5,0.5,0.43952788795276004,0.5013011960359143,0.4812831767451238,0.4812831767451238
acquaro,2,41.433520519401156,12.175540497114975,1.0,0.5,1.0,0.5,0.0,0.5,0.5,301871.5321295811,0.5,0.5,0.29969417322778286,0.0,0.0,0.0
acquasanta terme,1,41.26638539365059,12.708762894690622,1.0,1.0,1.0,1.0,0.0,0.0,0.0,234461.7699743867,0.0,0.0,0.1995925067225857,0.0,0.0,0.0
acquasparta,1,43.2170446175138,12.636622178400538,0.0,0.0,0.0,0.0,0.739021303859027,1.0,1.0,211066.240906925,1.0,1.0,0.1648507812877447,0.8142198846086727,0.5588247645436677,0.5588247645436677
acquaviva delle fonti,1,40.47541031390495,10.059799884416956,1.0,1.0,1.0,1.0,0.0,0.0,0.0,209050.2143961444,0.0,0.0,0.16185703665795084,0.0,0.0,0.0
adami,1,40.5449111132738,10.724322809231763,0.0,0.0,0.0,0.0,0.0,1.0,1.0,229303.00726680824,1.0,1.0,0.19193188417143975,0.0,0.0,0.0
adegliacco,1,40.18878680678952,13.845666478568198,1.0,1.0,1.0,1.0,0.0,0.0,0.0,342179.1560412003,0.0,0.0,0.3595499003126603,0.0,0.0,0.0
adro,3,42.54202871743608,10.912616542550465,0.0,0.0,0.0,0.0,0.0,1.0,1.0,285366.60858442937,1.0,1.0,0.27518480990134303,0.0,0.0,0.0
affile,1,42.54560548073363,10.204541525768402,1.0,1.0,1.0,1.0,0.0,0.0,0.0,234051.5719027826,0.0,0.0,0.19898337372386282,0.0,0.0,0.0
agliano,1,40.74332822226137,13.911973694952938,0.0,0.0,0.0,0.0,0.5110368133161752,1.0,1.0,134410.28868268913,1.0,1.0,0.0510187735805717,0.5630369963576219,0.36511223869568477,0.36511223869568477
agliano terme,1,42.10816585564661,11.704333535561483,1.0,1.0,1.0,1.0,0.0,0.0,0.0,346464.55142329,0.0,0.0,0.365913596098936,0.0,0.0,0.0
